id,spacegroup,Natoms,x_Al,x_Ga,x_In,a,b,c,alpha,beta,gamma,avg_HOMO,avg_rs_max,avg_rp_max,avg_mass,avg_rd_max,avg_LUMO,avg_EA,avg_electronegativity,avg_IP,alpha_r,beta_r,gamma_r,vol,atomic_density,formation_energy_ev_natom,bandgap_energy_ev
1,33,80.0,0.625,0.375,0.0,9.9523,8.5513,9.1775,90.0026,90.0023,90.0017,-2.710125,1.0775,1.43625,43.009586625,2.75375,0.27875,-0.200725,1.685,-5.794325000000001,1.5708417053554484,1.5708364693676926,1.5708259973921805,781.0520809134048,0.1024259482241487,0.068,3.4387
2,194,80.0,0.625,0.375,0.0,6.184,6.1838,23.6287,90.0186,89.99799999999999,120.0025,-2.710125,1.0775,1.43625,43.009586625,2.75375,0.27875,-0.200725,1.685,-5.794325000000001,1.5711209580357677,1.5707614202098565,2.0944387356244953,782.5001097924257,0.1022364073804688,0.249,2.9210000000000003
3,227,40.0,0.8125,0.1875,0.0,9.751,5.6595,13.963,90.9688,91.1228,30.5185,-2.7035625000000003,1.1037499999999998,1.4681250000000001,34.995562612499995,2.931875,0.32337499999999997,-0.22851249999999998,1.6475,-5.7871625,1.5877050765882177,1.5903928836362888,0.5326483077698895,391.2275308166618,0.10224229342066656,0.1821,2.7438
4,167,30.0,0.75,0.0,0.25,5.0036,5.0034,13.5318,89.9888,90.0119,120.0017,-2.71875,1.1199999999999999,1.4725,48.94065395,2.8175,0.44975,-0.27035,1.6525,-5.71935,1.570600849918673,1.571004020975884,2.0944247729904792,293.3773344671124,0.10225738826924613,0.2172,3.3492
5,194,80.0,0.0,0.625,0.375,6.6614,6.6612,24.5813,89.99600000000001,90.0006,119.9893,-2.7515,1.0275,1.3525,86.633625,2.0775,0.341875,-0.18475,1.79875,-5.7129,1.5707265136248172,1.5708067987704086,2.094208352163232,944.7138434058066,0.08468172723243941,0.0505,1.3793
6,227,40.0,0.5625,0.4375,0.0,9.8456,5.7176,14.1244,91.1235,91.3033,30.573,-2.7123125000000003,1.0687499999999999,1.4256250000000001,45.6809279625,2.694375,0.26387499999999997,-0.19146249999999998,1.6975,-5.7967125,1.590405100941053,1.5935432029361385,0.5335995122122263,404.3155782668508,0.09893262132383074,0.2209,2.1633
7,206,80.0,0.0312,0.0938,0.875,10.1664,10.1664,10.1666,90.0009,90.0008,89.9987,-2.776408,1.081868,1.3878039999999998,107.84759140432,1.99714,0.6318005999999999,-0.29157384,1.7775100000000001,-5.57130816,1.5708120347581647,1.5708102894289124,1.5707736375146206,1050.7759468782083,0.0761342132332541,0.0562,0.9854
8,12,20.0,0.5,0.0,0.5,12.135,3.1533,6.287999999999999,89.9997,105.179,90.0001,-2.7405,1.1099999999999999,1.4449999999999998,70.8997693,2.525,0.5315,-0.2844,1.695,-5.6587,1.5707910908071407,1.8357198539551158,1.5707980721241486,232.2178272348881,0.08612603191644723,0.2243,1.7179
9,206,80.0,0.5312,0.2188,0.25,9.4027,9.4023,9.4025,90.0025,90.00299999999999,89.9978,-2.726408,1.089368,1.435304,58.29248570432,2.6096399999999997,0.3976756,-0.23792384,1.69626,-5.727708160000001,1.5708399600261964,1.570848686672456,1.5707579295513527,831.2468733460804,0.09624096350338136,0.2193,2.6257
10,194,80.0,0.4062,0.5938,0.0,6.252000000000001,6.252000000000001,23.7931,90.0172,89.9994,119.9997,-2.717783,1.046868,1.399054,52.36141837932,2.54589,0.22667559999999998,-0.16829884,1.72876,-5.80268316,1.5710965234262397,1.5707858548193845,2.0943898664054394,805.4171778167832,0.09932740721628668,0.1994,2.5187
11,167,60.0,0.5833,0.4167,0.0,9.8307,4.915,13.3346,89.9909,90.0103,120.0011,-2.7115845000000003,1.071662,1.4291610000000001,44.791905565380006,2.714135,0.26882540000000005,-0.19454506,1.69334,-5.795917940000001,1.5706375018329648,1.5709760957078518,2.094414301014967,557.9737490762747,0.10753194052467518,0.0581,3.8723
12,194,80.0,0.5938,0.4062,0.0,6.1935,6.1934,23.6522,90.0189,89.99799999999999,120.0021,-2.7112170000000004,1.073132,1.430946,44.34312022068,2.72411,0.2713244,-0.19610115999999997,1.69124,-5.79551684,1.5711261940235235,1.5707614202098565,2.0944317543074873,785.7026665336898,0.10181968753261157,0.259,2.8805
13,33,40.0,0.8125,0.1875,0.0,4.9323,8.4765,9.1059,90.0044,90.0024,90.0015,-2.7035625000000003,1.1037499999999998,1.4681250000000001,34.995562612499995,2.931875,0.32337499999999997,-0.22851249999999998,1.6475,-5.7871625,1.5708731212819844,1.5708382146969444,1.5708225067336763,380.70530203953075,0.1050681453231943,0.0535,3.9039
14,206,80.0,0.125,0.875,0.0,9.3513,9.3512,9.3507,90.0059,90.0051,89.9933,-2.727625,1.0074999999999998,1.35125,64.380317325,2.27875,0.15975,-0.126625,1.785,-5.8134250000000005,1.5708993012207642,1.5708853385867483,1.5706793897350129,817.6801447853651,0.09783776762856264,0.078,2.5371
15,194,80.0,0.375,0.125,0.5,6.6318,6.6314,24.4597,90.0152,90.0071,119.9918,-2.744875,1.0925,1.42375,76.242451975,2.40625,0.5017499999999999,-0.265875,1.7200000000000002,-5.663475,1.5710616168411997,1.5709202451717879,2.0942519853945316,931.6531314191272,0.08586886825372567,0.39,0.9251
16,12,80.0,0.4375,0.1875,0.375,24.3679,6.2545,6.1721,89.9997,104.8418,90.0001,-2.7361875,1.08875,1.426875,67.9342356375,2.493125,0.446,-0.2495875,1.7112500000000002,-5.696187500000001,1.5707910908071407,1.829834603717391,1.5707980721241486,909.2995296160015,0.08797981016638612,0.166,1.5852
17,194,80.0,0.9062,0.0625,0.0312,6.1239,6.1235,23.4577,90.0089,90.00299999999999,120.0051,-2.7016322,1.119889,1.4857930000000001,32.39067937932,3.01381,0.36329059999999996,-0.24876531,1.627643,-5.774240380000001,1.5709516610983238,1.570848686672456,2.094484114185047,761.7659226102099,0.10501913727760098,0.2544,2.2913
18,12,80.0,0.0,0.4062,0.5938,24.765,6.5014,6.486000000000001,90.0003,105.241,90.0,-2.7628776,1.0493800000000002,1.365628,96.500411,2.029364,0.465497,-0.22947272,1.792186,-5.65146096,1.5708015627826524,1.8368019580913524,1.5707963267948966,1007.5633115130677,0.07939947702131316,0.0503,1.1844
19,167,30.0,0.4167,0.3333,0.25,5.0862,5.0858,13.6981,89.9942,90.0065,120.001,-2.7304155000000003,1.073338,1.4158389999999998,63.18638303461999,2.5008649999999997,0.3704246,-0.22095494,1.71916,-5.73208206,1.5706950976982808,1.5709097731962762,2.0944125556857154,306.85930378876384,0.09776467465575506,0.1919,2.5669999999999997
20,12,20.0,0.25,0.25,0.5,12.2649,3.1889,6.3388,90.0,105.0943,90.0001,-2.74925,1.0750000000000002,1.4024999999999999,81.58513465,2.2874999999999996,0.472,-0.24735,1.745,-5.6682500000000005,1.5707963267948966,1.8342415600786768,1.5707980721241486,239.36661798834805,0.08355383957914117,0.2063,1.5596
21,33,80.0,0.0,0.375,0.625,10.9377,9.3249,9.9463,89.9988,89.99799999999999,90.0,-2.7645,1.0525,1.3675,97.907375,2.0225,0.48312499999999997,-0.23585,1.79125,-5.6427,1.5707753828438729,1.5707614202098565,1.5707963267948966,1014.4525645756647,0.07886026690017112,0.0918,1.1365
22,167,30.0,0.5833,0.4167,0.0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,-2.7115845000000003,1.071662,1.4291610000000001,44.791905565380006,2.714135,0.26882540000000005,-0.19454506,1.69334,-5.795917940000001,1.5706375018329648,1.5709760957078518,2.094414301014967,278.9840366234971,0.10753303437388606,0.0566,3.9691
23,167,30.0,0.6667,0.0,0.3333,5.0674,5.0672,13.6668,89.9903,90.0102,120.0016,-2.7259971,1.116668,1.4633369999999999,56.257431184619996,2.720039,0.47698909999999994,-0.27503145999999995,1.666661,-5.69914142,1.5706270298574532,1.5709743503786,2.0944230276612275,303.90909190279297,0.09871372985970314,0.2027,2.9122
24,194,80.0,0.1562,0.5625,0.2812,6.5405,6.5403,24.3429,90.0046,90.0031,119.9922,-2.7408821999999997,1.039889,1.373293,75.72052542931999,2.2463100000000003,0.3260406,-0.18871531,1.770143,-5.732690379999999,1.5708766119404882,1.5708504320017085,2.0942589667115397,901.8736361368142,0.08870422284731694,0.2753,1.1811
25,167,30.0,0.75,0.1667,0.0833,4.9172,4.917,13.3449,89.9883,90.0127,120.0015,-2.7100816000000005,1.10333,1.462498,41.42331745,2.854174,0.3555645,-0.23627652,1.6575010000000001,-5.76615936,1.5705921232724132,1.5710179836098999,2.094421282331975,279.4199810967155,0.10736526386642377,0.0916,4.0371
