id,formation_energy_ev_natom,bandgap_energy_ev
1,0.20160607,1.6693535
2,0.0678558,3.8245978
3,0.14870007,3.4952269
4,0.026835449,3.1123343
5,0.14131957,1.7179449
6,0.05912045,4.584358
7,0.065801695,3.3317509
8,0.116785064,2.1537094
9,0.061087806,2.7733417
10,0.25095654,2.9457002
11,0.18895131,2.0901155
12,0.10390563,2.8727646
13,0.3125428,1.0813794
14,0.15825841,2.059681
15,0.05366816,0.98975056
16,0.25380716,3.713078
17,0.20461297,1.845738
18,0.21594894,2.3597193
19,0.38287038,1.4184237
20,0.18910801,1.5286062
21,0.10101462,1.8608229
22,0.14905493,2.8882518
23,0.15323323,1.8393356
24,0.17382777,3.1083736
25,0.01599057,2.56042
26,0.16589485,0.86476827
27,0.2606659,1.4028283
28,0.20835981,2.041624
29,0.128654,1.2097204
30,0.22708851,2.0194414
31,0.25275958,1.2310429
32,0.13554296,2.1104069
33,0.119461894,1.6266922
34,0.16032669,1.9081861
35,0.04286877,0.973998
36,0.22794995,0.83104146
37,0.15255576,3.6425443
38,0.15743409,1.5140431
39,0.2502975,2.0359921
40,0.10500823,3.4357748
41,0.059243713,3.9946508
42,0.15339477,3.2340717
43,0.059243713,3.9946508
44,0.20944971,1.4939057
45,0.3498061,0.46870282
46,0.04268615,4.0308285
47,0.17167217,1.9474417
48,0.2512309,2.0076065
49,0.24344018,3.6596527
50,0.13192588,1.2417507
51,0.12154259,2.2269402
52,0.12386899,1.6237447
53,0.25905967,1.6747541
54,0.25774565,2.9840727
55,0.118945554,2.710352
56,0.20006466,0.71347535
57,0.21324742,2.3112392
58,0.28501734,2.7870774
59,0.20787245,0.9654876
60,0.109977245,2.8567867
61,0.20984393,0.64597577
62,0.15956734,1.7789855
63,0.34740755,1.5793941
64,0.25711736,3.3759809
65,0.3417123,1.1763927
66,0.0632021,2.960361
67,0.065801695,3.3317509
68,0.21635017,2.2722368
69,0.25109795,3.5253134
70,0.27697453,1.8016819
71,0.05317402,2.6437035
72,0.10577141,3.1512504
73,0.03720583,2.4262276
74,0.107822314,2.0982022
75,0.27759764,1.6900188
76,0.27837124,3.1416707
77,0.38969254,1.0324059
78,0.254711,2.2711215
79,0.17234144,2.438425
80,0.2588294,1.3456143
81,0.10500823,3.4357748
82,0.064725906,3.5565314
83,0.25353768,1.1335872
84,0.06773932,1.0124897
85,0.10500823,3.4357748
86,0.19425887,3.0010695
87,0.061328463,3.379582
88,0.039143115,2.7628913
89,0.083524674,4.3720694
90,0.36111307,1.4779392
91,0.0713956,4.4715996
92,0.2633962,0.70466834
93,0.22542667,2.3799243
94,0.0046974495,2.1364722
95,0.065801695,3.3317509
96,0.30565843,1.1931815
97,0.2510889,2.241932
98,0.040103067,1.4489412
99,0.07228503,2.0358965
100,0.31512156,1.0268297
101,0.16338852,1.6219708
102,0.04268615,4.0308285
103,0.23231846,2.1481876
104,0.36383823,1.2182975
105,0.313691,0.6678609
106,0.083524674,4.3720694
107,0.08700008,4.118718
108,0.21862096,2.5695472
109,0.20671046,2.228159
110,0.19624087,0.8049698
111,0.36808524,0.8395942
112,0.06897953,3.128765
113,0.21328273,2.3767204
114,0.34918818,2.3183517
115,0.39409813,2.015863
116,0.22647062,2.6604772
117,0.15081947,2.2344074
118,0.26526663,2.2876348
119,0.22542667,2.3799243
120,0.18035099,2.426643
121,0.26352483,2.3261213
122,0.15976073,1.8519964
123,0.04286877,0.973998
124,0.34244096,0.25789663
125,0.16722384,1.3134627
126,0.104613096,3.502376
127,0.05977162,2.5200686
128,0.3563858,2.3814826
129,0.3762788,1.3961225
130,0.3034216,1.9435761
131,0.117761806,3.4804387
