iter	RMSE
0	2.240663683
1	2.175486335
2	2.111974654
3	2.051050856
4	1.991893522
5	1.934953647
6	1.878886696
7	1.824204201
8	1.770942422
9	1.71949235
10	1.670565689
11	1.622328151
12	1.57593515
13	1.530731348
14	1.48643721
15	1.443646364
16	1.401825465
17	1.361347016
18	1.322305791
19	1.284399213
20	1.247316055
21	1.211397192
22	1.176302192
23	1.14265169
24	1.109949321
25	1.077974181
26	1.047153198
27	1.017380435
28	0.9885281494
29	0.9603868622
30	0.9335867816
31	0.9071720691
32	0.8814110102
33	0.856549724
34	0.8323604356
35	0.8089094204
36	0.7859513941
37	0.7641129066
38	0.7428983079
39	0.7224063353
40	0.7021174524
41	0.6824847991
42	0.6638412641
43	0.6453775294
44	0.6274424988
45	0.609834392
46	0.5929344598
47	0.5768312266
48	0.5609478445
49	0.545559101
50	0.5307751389
51	0.5164109913
52	0.5025048098
53	0.4888879398
54	0.4757065589
55	0.4631452252
56	0.4507973818
57	0.4388673297
58	0.4273837237
59	0.4164112579
60	0.4057684421
61	0.3951011379
62	0.3848335595
63	0.3751221183
64	0.3657819224
65	0.3564013625
66	0.3473833603
67	0.3386185712
68	0.3301976387
69	0.3221118396
70	0.3140694423
71	0.3065944233
72	0.2992167992
73	0.2919432828
74	0.2848205712
75	0.2781945817
76	0.2717456379
77	0.2655248753
78	0.2593316728
79	0.2533573791
80	0.2475466839
81	0.2419703269
82	0.2365969439
83	0.231661443
84	0.2267550466
85	0.2218952025
86	0.2171503245
87	0.2126551689
88	0.2082736696
89	0.2041421529
90	0.2000940052
91	0.1962009622
92	0.1925772732
93	0.1893230886
94	0.1859664254
95	0.1827481447
96	0.1795091849
97	0.1762002947
98	0.1732736676
99	0.1705200044
100	0.1677753521
101	0.1650772578
102	0.1625401884
103	0.1600667474
104	0.1579331872
105	0.1554035747
106	0.1531604021
107	0.1511007754
108	0.1491329872
109	0.1472870368
110	0.1452491046
111	0.1435222607
112	0.1418448647
113	0.1401689506
114	0.1385675201
115	0.1370673884
116	0.1355457748
117	0.1339648671
118	0.1326492933
119	0.1311224768
120	0.1297921887
121	0.128235885
122	0.1272974057
123	0.1260884184
124	0.1250271394
125	0.1238996397
126	0.1227478781
127	0.1216294268
128	0.1206724395
129	0.1196419457
130	0.1187314743
131	0.117999409
132	0.117190363
133	0.1163418171
134	0.1155240223
135	0.1148267775
136	0.1139167213
137	0.1132723117
138	0.1124797482
139	0.1117786616
140	0.1112269611
141	0.1106590006
142	0.1101163656
143	0.1095316497
144	0.1089102701
145	0.1082384585
146	0.1076229421
147	0.1072291656
148	0.1067440697
149	0.1062048014
150	0.1056856621
151	0.1052409728
152	0.104962773
153	0.1044477336
154	0.1039972002
155	0.1036578008
156	0.1031391634
157	0.1028233987
158	0.1023952451
159	0.1020605531
160	0.1016788632
161	0.1012437198
162	0.1010750369
163	0.1007208211
164	0.100532666
165	0.1002492909
166	0.09985908787
167	0.09958768284
168	0.09930774721
169	0.09901266216
170	0.09888750256
171	0.09861996395
172	0.09828926988
173	0.09800468529
174	0.09769225317
175	0.09731679997
176	0.09717113261
177	0.09688870269
178	0.09661188867
179	0.09633601141
180	0.09606101154
181	0.09586957594
182	0.09569555578
183	0.09547315064
184	0.0951691815
185	0.09509838349
186	0.09498682375
187	0.09461906258
188	0.09451178778
189	0.09417646415
190	0.09395006976
191	0.0937424269
192	0.09358814805
193	0.09335571125
194	0.09314664471
195	0.09301394711
196	0.09296298884
197	0.09262589216
198	0.09245542793
199	0.0922088538
200	0.09192982111
201	0.09187499098
202	0.09184729335
203	0.09178179875
204	0.09162215974
205	0.09157287559
206	0.0914137033
207	0.09114827999
208	0.09104367492
209	0.09086093593
210	0.09055243568
211	0.09046389936
212	0.09036249813
213	0.09015592359
214	0.09000878085
215	0.08985408587
216	0.08983179108
217	0.08968650032
218	0.08959216265
219	0.08939520891
220	0.08920015033
221	0.08901431853
222	0.08887151943
223	0.08865662883
224	0.08842928926
225	0.08837836549
226	0.08821602892
227	0.08818762054
228	0.08806905931
229	0.08798851656
230	0.08771378076
231	0.08760603003
232	0.08742846679
233	0.08737818869
234	0.08720402905
235	0.08698799091
236	0.08678031018
237	0.08657431423
238	0.08636477936
239	0.08635572629
240	0.08619581895
241	0.08607576476
242	0.08595397439
243	0.0859330516
244	0.08592117455
245	0.08580336553
246	0.08578545107
247	0.08567757948
248	0.08550946967
249	0.08549558163
250	0.08546904803
251	0.08545475033
252	0.08528589631
253	0.08514295867
254	0.08503821799
255	0.08502756251
256	0.08493945298
257	0.08487206378
258	0.08466326426
259	0.08464847492
260	0.08443847867
261	0.08442984172
262	0.08441751557
263	0.08433063368
264	0.08411456923
265	0.08399720213
266	0.08392936386
267	0.08391457224
268	0.08390909117
269	0.08380326739
270	0.08379920829
271	0.08363697322
272	0.08355953157
273	0.08355593095
274	0.08355167108
275	0.0835478974
276	0.08349914009
277	0.08349701192
278	0.08348062164
279	0.08342475572
280	0.0834218232
281	0.08323439912
282	0.08321773183
283	0.08321382955
284	0.08313213646
285	0.08293418296
286	0.08284229218
287	0.08283539751
288	0.08282812538
289	0.08280102591
290	0.08266037961
291	0.08255576413
292	0.08236505707
293	0.08215726939
294	0.08206524293
295	0.08205752359
296	0.08190073299
297	0.08188920262
298	0.08171428772
299	0.08170451008
300	0.08170350098
301	0.08162362812
302	0.08145757336
303	0.08145511746
304	0.08145052586
305	0.08144045146
306	0.08143809284
307	0.08130516201
308	0.08130215115
309	0.08129359583
310	0.08128582666
311	0.08128331858
312	0.08127104957
313	0.0812466237
314	0.08124386725
315	0.08114528991
316	0.08108877211
317	0.08094793114
318	0.08072964003
319	0.08055813172
320	0.08048022113
321	0.08042152334
322	0.08041636486
323	0.08037481086
324	0.08036425848
325	0.08017177488
326	0.0801704292
327	0.08016485492
328	0.08016260836
329	0.0801547592
330	0.08014778227
331	0.08007253712
332	0.08006069109
333	0.08005670698
334	0.08004394437
335	0.07993758669
336	0.079937583
337	0.07993185957
338	0.0799314231
339	0.07982700943
340	0.07970051972
341	0.07969725278
342	0.07961999436
343	0.07961988847
344	0.07933304519
345	0.07932430839
346	0.0793211413
347	0.07932073359
348	0.07926963117
349	0.07917014341
350	0.07914035847
351	0.07913310618
352	0.07913310391
353	0.07913310205
354	0.07913268255
355	0.07894721773
356	0.07894546894
357	0.07888801402
358	0.07888798384
359	0.07888791597
360	0.07884488821
361	0.07884484763
362	0.07883678765
363	0.078815725
364	0.07873252918
365	0.07873249012
366	0.07849874636
367	0.07846315509
368	0.07828503916
369	0.0782849862
370	0.07824312113
371	0.07824159795
372	0.07822267387
373	0.07802180352
374	0.07801953753
375	0.07801949063
376	0.07801827413
377	0.07801476624
378	0.07801348826
379	0.0778405141
380	0.07783920332
381	0.07783920209
382	0.07776857945
383	0.0777133006
384	0.07744937396
385	0.0774483714
386	0.07744799153
387	0.07744768431
388	0.07731798915
389	0.07731713834
390	0.07716935373
391	0.07716930433
392	0.07702354779
393	0.07701522801
394	0.0770040362
395	0.07700341607
396	0.07699897904
397	0.07699894748
398	0.07699771006
399	0.07696989369
400	0.07696868521
401	0.07683516347
402	0.07683374735
403	0.07681554636
404	0.07674578863
405	0.07674407974
406	0.07674406797
407	0.07674384693
408	0.07673819301
409	0.07670959063
410	0.07660477957
411	0.07660460292
412	0.07660358616
413	0.07660357598
414	0.07660217692
415	0.07660198306
416	0.07660196859
417	0.07660195649
418	0.07635724852
419	0.07635721223
420	0.07629964502
421	0.07629877957
422	0.07629856127
423	0.07629772889
424	0.07622176442
425	0.07622057593
426	0.07589056827
427	0.0758896541
428	0.07588947022
429	0.07588840467
430	0.07582364346
431	0.07575617734
432	0.07575617668
433	0.07575616955
434	0.07575554955
435	0.07562951106
436	0.07557799522
437	0.07557736287
438	0.07557735096
439	0.0754186454
440	0.07541856311
441	0.07539311037
442	0.07508234548
443	0.07508221837
444	0.07508220204
445	0.07508203929
446	0.07507984152
447	0.07507716269
448	0.07504667719
449	0.07483571274
450	0.07483571
451	0.07483551642
452	0.07483538822
453	0.0748352149
454	0.07483519705
455	0.07476561663
456	0.07476558911
457	0.07476421144
458	0.07475680319
459	0.07459950408
460	0.07459757022
461	0.07459741092
462	0.07459740272
463	0.07459728019
464	0.07459654817
465	0.07458219241
466	0.0744914293
467	0.07444279793
468	0.07444279087
469	0.07444270215
470	0.07444269962
471	0.07444266482
472	0.07444265819
473	0.0742821816
474	0.07428217882
475	0.07428209688
476	0.07428205782
477	0.07428205341
478	0.07404765424
479	0.07404764596
480	0.07404613045
481	0.07404595699
482	0.07404594111
483	0.07404593226
484	0.0740458498
485	0.07404581552
486	0.07388948624
487	0.07388836807
488	0.07388835523
489	0.07388834576
490	0.07388832792
491	0.07388818056
492	0.07388784798
493	0.07388782952
494	0.07388774538
495	0.07388774048
496	0.07381911624
497	0.07381910847
498	0.07381910115
499	0.07381899731
500	0.07381847972
501	0.07381847504
502	0.07381744858
503	0.07363137
504	0.07363125304
505	0.07363090988
506	0.07363090695
507	0.07363090203
508	0.07362140635
509	0.07362140337
510	0.07362132348
511	0.07362131853
512	0.07353113833
513	0.07353098414
514	0.07353022856
515	0.07352997623
516	0.07352997313
517	0.07352969091
518	0.07352858319
519	0.07343705112
520	0.07343701279
521	0.0734370111
522	0.07341197233
523	0.07341101866
524	0.07336265555
525	0.07332809476
526	0.07332809441
527	0.07332809013
528	0.07332808609
529	0.07332808226
530	0.07332794123
531	0.07332640761
532	0.07332304608
533	0.07332289135
534	0.07332288953
535	0.07325327397
536	0.07325318139
537	0.07324765931
538	0.0732476575
539	0.07320467799
540	0.07320448471
541	0.07320441348
542	0.0732044105
543	0.07318167843
544	0.07318167747
545	0.07318167725
546	0.07318167424
547	0.07311478741
548	0.07297796033
549	0.0729779569
550	0.07297785154
551	0.07272773989
552	0.07272773874
553	0.07272763001
554	0.07272284633
555	0.07272284607
556	0.07272261554
557	0.07267264829
558	0.07261517038
559	0.07261498939
560	0.07259706394
561	0.07259662412
562	0.07259648337
563	0.07259641825
564	0.07259640863
565	0.0725964034
566	0.07259639847
567	0.07259633357
568	0.07259632791
569	0.07258958553
570	0.07255643365
571	0.07255576349
572	0.07255575213
573	0.07255574526
574	0.07255573879
575	0.0725557327
576	0.07255572696
577	0.07250891356
578	0.07250874794
579	0.07250599846
580	0.07250598933
581	0.07250592735
582	0.07250586651
583	0.07250586125
584	0.07250584561
585	0.07250575188
586	0.07242713155
587	0.07242247006
588	0.07242246953
589	0.07242246236
590	0.07241027578
591	0.07235622435
592	0.07235619865
593	0.07215081742
594	0.07212749359
595	0.0720549709
596	0.07205496276
597	0.07200991574
598	0.07197839003
599	0.07197837551
600	0.07197812239
601	0.07197810616
602	0.07195060761
603	0.07194898385
604	0.0719443209
605	0.07176170989
606	0.07175786138
607	0.07175664686
608	0.07175612831
609	0.07175350013
610	0.07175348294
611	0.07171212401
612	0.07171204863
613	0.07170696415
614	0.07170694522
615	0.07166635171
616	0.071666212
617	0.07166620876
618	0.07156243012
619	0.07156231683
620	0.07145409827
621	0.07145388289
622	0.07144972209
623	0.07124624964
624	0.07124618845
625	0.07124599925
626	0.07124598568
627	0.07112996053
628	0.07112933608
629	0.07112451294
630	0.07112417777
631	0.07112389401
632	0.07098474607
633	0.07098450406
634	0.07098434118
635	0.07093943233
636	0.07093932913
637	0.07082471275
638	0.07064989678
639	0.07064989677
640	0.07064428986
641	0.07064420307
642	0.07064418649
643	0.07056389055
644	0.07050106598
645	0.07032360378
646	0.07017168701
647	0.07017160701
648	0.07017154503
649	0.07017130928
650	0.07017083668
651	0.0701707604
652	0.07002342744
653	0.07001893807
654	0.06987444548
655	0.06976657759
656	0.06976416208
657	0.06976382187
658	0.06976381178
659	0.06976348873
660	0.06973444
661	0.06973441284
662	0.06966116463
663	0.06966071467
664	0.06966069428
665	0.06951516238
666	0.06951515247
667	0.06951514313
668	0.06950379727
669	0.06950067747
670	0.0695006553
671	0.06949917772
672	0.06949897588
673	0.06949896078
674	0.06949894656
675	0.06938539342
676	0.06927146492
677	0.06916727785
678	0.06903442746
679	0.06903411575
680	0.06903410676
681	0.06894127123
682	0.06894126306
683	0.06894105552
684	0.06894096353
685	0.06892770783
686	0.06892752471
687	0.06892335411
688	0.0689232394
689	0.06892322559
690	0.06892321257
691	0.06892320031
692	0.06892315756
693	0.06892298724
694	0.06885874069
695	0.06876513611
696	0.06876146424
697	0.06876137952
698	0.06874290912
699	0.0687271547
700	0.06872683816
701	0.06872683298
702	0.06872683117
703	0.06872682946
704	0.0687266586
705	0.06872665846
706	0.06872665363
707	0.0686448308
708	0.06864482837
709	0.06864068095
710	0.06852776077
711	0.06852353564
712	0.06851984926
713	0.06849039436
714	0.06837978657
715	0.06837976228
716	0.06837935295
717	0.06837802008
718	0.06837801808
719	0.06837622195
720	0.06837314409
721	0.06837289014
722	0.06835333595
723	0.06835309302
724	0.06821072409
725	0.06821071912
726	0.06820049039
727	0.06814239469
728	0.06814142855
729	0.0681414282
730	0.06814142787
731	0.06813929199
732	0.06813530135
733	0.06813529371
734	0.06808295124
735	0.06806890922
736	0.06806873001
737	0.06806730742
738	0.06806640142
739	0.06806380714
740	0.06806195129
741	0.06794068258
742	0.06794057553
743	0.06788333476
744	0.06778804993
745	0.06758690925
746	0.06755559465
747	0.06749240014
748	0.06744808317
749	0.0674479362
750	0.06723059279
751	0.06718482389
752	0.06718469408
753	0.06718457181
754	0.06718445664
755	0.06718434817
756	0.06718400227
757	0.06717886973
758	0.06717877973
759	0.06717869496
760	0.06699629692
761	0.0669955937
762	0.06696647262
763	0.06696627169
764	0.06694583253
765	0.06691890269
766	0.06691883423
767	0.06683555059
768	0.06683551572
769	0.06683545124
770	0.06683539052
771	0.06683528059
772	0.06683502579
773	0.06683477877
774	0.06683473097
775	0.06683468595
776	0.06674963291
777	0.06674958467
778	0.06668139525
779	0.06668120709
780	0.06668069049
781	0.06668007117
782	0.0666800315
783	0.06660025963
784	0.06659961339
785	0.06655230115
786	0.06644972704
787	0.06619077786
788	0.06617332478
789	0.06607669024
790	0.06594721357
791	0.06594654372
792	0.06589944283
793	0.0658481055
794	0.06579610523
795	0.06579600754
796	0.06579591553
797	0.06579524776
798	0.06578307097
799	0.06578289866
800	0.06578250036
801	0.0657816336
802	0.06578156993
803	0.06578150996
804	0.06578104105
805	0.06578099102
806	0.06576972404
807	0.0656768468
808	0.06552527956
809	0.06548904906
810	0.0654870424
811	0.06548675656
812	0.06545690875
813	0.06534702816
814	0.06532955711
815	0.06523839198
816	0.06523253343
817	0.06523241049
818	0.06510858617
819	0.06510812258
820	0.06510785591
821	0.06510779808
822	0.06510725046
823	0.06510711108
824	0.06510683734
825	0.06510630363
826	0.06510580525
827	0.06510571098
828	0.06510496239
829	0.06510473071
830	0.06509810429
831	0.06508716356
832	0.06508715538
833	0.06494790836
834	0.06487475094
835	0.06487431072
836	0.06470981764
837	0.06470978985
838	0.06470956829
839	0.06457791608
840	0.06457772648
841	0.0644939643
842	0.06443600295
843	0.06443590696
844	0.06443533046
845	0.06441372533
846	0.06441342616
847	0.06441339447
848	0.06441304628
849	0.06441179961
850	0.06441179399
851	0.06441059449
852	0.06441053057
853	0.0643435053
854	0.06428666165
855	0.06425485587
856	0.06425452224
857	0.06425422458
858	0.06425407131
859	0.06425405687
860	0.06425404327
861	0.06425353982
862	0.06410821724
863	0.06410807896
864	0.06410807465
865	0.06410806069
866	0.0640518828
867	0.06404758406
868	0.06404653784
869	0.06404631817
870	0.06404606595
871	0.06404586398
872	0.0640457356
873	0.06395891541
874	0.06393415923
875	0.06393415921
876	0.06393401308
877	0.06385782912
878	0.06385489113
879	0.06380342004
880	0.06373407591
881	0.06361851156
882	0.06356940173
883	0.06356885729
884	0.06350306612
885	0.06350268722
886	0.06350268707
887	0.06350239395
888	0.06350136734
889	0.06350102791
890	0.06350078221
891	0.0635001692
892	0.06349263283
893	0.06338707485
894	0.06338707269
895	0.06326880554
896	0.06316540073
897	0.0631654
898	0.06315671682
899	0.06311771556
900	0.06308638402
901	0.06305382894
902	0.06305373486
903	0.06305348926
904	0.06302688199
905	0.06302612747
906	0.06302577042
907	0.06302576883
908	0.06297782211
909	0.06297782067
910	0.06297758392
911	0.06297691382
912	0.062877535
913	0.0628002481
914	0.06279999808
915	0.06279927683
916	0.06279862208
917	0.06279840689
918	0.06279796896
919	0.06267844215
920	0.06266997909
921	0.06266996974
922	0.06266996091
923	0.06260633131
924	0.06260559103
925	0.06260558297
926	0.06260557535
927	0.06249878368
928	0.0624729134
929	0.06247291116
930	0.06240775472
931	0.06240754722
932	0.06240705736
933	0.06230559524
934	0.06230299758
935	0.06226027811
936	0.06226013969
937	0.06226000914
938	0.06225983861
939	0.06218550625
940	0.06216767984
941	0.06211364128
942	0.06211351149
943	0.06211233231
944	0.06211209644
945	0.06210751525
946	0.06210750089
947	0.06201959363
948	0.06201947062
949	0.06192583719
950	0.06192557485
951	0.06192531433
952	0.06184515636
953	0.06175392137
954	0.06157806542
955	0.06157805035
956	0.0615780361
957	0.06157774805
958	0.0615777273
959	0.06157761117
960	0.06141906204
961	0.06137971843
962	0.06137946217
963	0.06136118741
964	0.06136093842
965	0.06132065275
966	0.06123460352
967	0.06123420642
968	0.06123405897
969	0.06117107287
970	0.06117105814
971	0.06117079316
972	0.06117064741
973	0.06117034385
974	0.06116920465
975	0.06116871873
976	0.06110652394
977	0.06110639009
978	0.06104691533
979	0.06100863945
980	0.06100850231
981	0.06100829725
982	0.06100099952
983	0.06093156366
984	0.06093122133
985	0.06093120006
986	0.06093096176
987	0.06093073727
988	0.06093052578
989	0.06093032655
990	0.06093029945
991	0.06093027383
992	0.06088597229
993	0.06078266924
994	0.06078256799
995	0.06066596011
996	0.06066589068
997	0.06066582521
998	0.06060238781
999	0.06060237035
