iter	Passed	Remaining
0	5	5196
1	9	4980
2	15	5175
3	20	5223
4	26	5344
5	32	5439
6	38	5445
7	43	5441
8	49	5469
9	55	5486
10	61	5529
11	67	5558
12	72	5523
13	78	5528
14	83	5489
15	89	5490
16	94	5489
17	100	5488
18	106	5481
19	111	5485
20	117	5487
21	123	5483
22	128	5462
23	134	5463
24	139	5444
25	145	5438
26	151	5445
27	157	5461
28	163	5465
29	168	5463
30	174	5443
31	179	5435
32	185	5438
33	191	5439
34	197	5440
35	204	5466
36	209	5458
37	221	5609
38	228	5635
39	234	5617
40	239	5603
41	244	5583
42	250	5571
43	256	5564
44	261	5548
45	267	5539
46	272	5530
47	278	5523
48	284	5512
49	290	5510
50	295	5501
51	301	5492
52	306	5476
53	313	5488
54	319	5483
55	324	5476
56	330	5469
57	336	5463
58	341	5452
59	348	5459
60	354	5455
61	360	5447
62	364	5418
63	370	5413
64	375	5404
65	381	5395
66	387	5389
67	392	5380
68	398	5371
69	405	5389
70	412	5402
71	420	5423
72	427	5423
73	432	5417
74	438	5404
75	444	5401
76	450	5400
77	455	5389
78	462	5386
79	467	5370
80	472	5364
81	478	5355
82	483	5346
83	489	5337
84	495	5332
85	501	5329
86	507	5324
87	513	5318
88	518	5307
89	524	5299
90	529	5288
91	534	5279
92	540	5274
93	546	5270
94	552	5262
95	558	5258
96	563	5248
97	568	5236
98	574	5226
99	579	5219
100	585	5212
101	591	5203
102	596	5194
103	602	5192
104	609	5196
105	617	5207
106	624	5208
107	629	5203
108	635	5198
109	641	5192
110	647	5185
111	652	5175
112	658	5169
113	664	5163
114	670	5157
115	675	5150
116	681	5145
117	687	5140
118	695	5148
119	701	5141
120	707	5136
121	712	5128
122	718	5125
123	724	5120
124	730	5114
125	736	5107
126	742	5100
127	746	5088
128	752	5082
129	758	5076
130	764	5070
131	770	5063
132	775	5057
133	781	5049
134	787	5043
135	792	5034
136	799	5033
137	805	5031
138	811	5027
139	819	5033
140	825	5031
141	831	5027
142	837	5019
143	843	5014
144	848	5004
145	854	4999
146	860	4992
147	866	4986
148	872	4980
149	878	4976
150	883	4968
151	889	4960
152	894	4952
153	899	4942
154	905	4934
155	910	4927
156	916	4922
157	922	4917
158	928	4912
159	934	4905
160	939	4898
161	945	4890
162	951	4884
163	956	4877
164	960	4862
165	966	4855
166	972	4851
167	978	4844
168	984	4840
169	990	4834
170	996	4831
171	1003	4829
172	1009	4825
173	1016	4823
174	1022	4820
175	1028	4815
176	1034	4808
177	1039	4801
178	1044	4792
179	1050	4786
180	1056	4779
181	1061	4771
182	1067	4767
183	1073	4760
184	1079	4753
185	1084	4746
186	1090	4738
187	1095	4730
188	1100	4722
189	1106	4716
190	1112	4710
191	1117	4704
192	1123	4698
193	1129	4690
194	1134	4684
195	1140	4679
196	1146	4672
197	1151	4665
198	1157	4658
199	1162	4650
200	1168	4644
201	1174	4638
202	1179	4631
203	1185	4624
204	1191	4618
205	1198	4619
206	1206	4622
207	1213	4619
208	1219	4615
209	1224	4608
210	1231	4603
211	1236	4597
212	1242	4591
213	1248	4585
214	1253	4578
215	1259	4571
216	1265	4565
217	1270	4558
218	1276	4553
219	1282	4546
220	1288	4540
221	1294	4534
222	1299	4526
223	1304	4519
224	1310	4512
225	1315	4506
226	1321	4499
227	1326	4491
228	1332	4485
229	1338	4480
230	1344	4474
231	1350	4469
232	1355	4462
233	1361	4455
234	1366	4449
235	1372	4444
236	1378	4438
237	1384	4431
238	1390	4426
239	1397	4424
240	1403	4420
241	1412	4424
242	1417	4417
243	1423	4409
244	1428	4403
245	1434	4396
246	1439	4389
247	1445	4384
248	1451	4378
249	1457	4372
250	1462	4365
251	1466	4352
252	1472	4346
253	1478	4340
254	1483	4335
255	1489	4329
256	1495	4323
257	1500	4316
258	1506	4309
259	1512	4303
260	1517	4295
261	1522	4289
262	1528	4282
263	1533	4276
264	1539	4271
265	1545	4264
266	1551	4258
267	1556	4252
268	1562	4246
269	1568	4240
270	1572	4229
271	1578	4223
272	1583	4217
273	1589	4211
274	1596	4209
275	1603	4206
276	1612	4209
277	1618	4203
278	1624	4198
279	1630	4192
280	1633	4179
281	1638	4172
282	1644	4165
283	1649	4158
284	1655	4152
285	1660	4146
286	1666	4140
287	1674	4140
288	1680	4134
289	1686	4128
290	1691	4121
291	1696	4114
292	1702	4107
293	1708	4101
294	1713	4094
295	1719	4089
296	1725	4084
297	1731	4077
298	1736	4071
299	1742	4065
300	1748	4060
301	1754	4054
302	1759	4048
303	1763	4037
304	1769	4031
305	1774	4025
306	1780	4019
307	1786	4013
308	1793	4009
309	1799	4005
310	1806	4002
311	1813	3998
312	1820	3994
313	1826	3990
314	1832	3984
315	1838	3978
316	1843	3971
317	1848	3964
318	1854	3959
319	1860	3953
320	1865	3946
321	1871	3940
322	1876	3932
323	1881	3925
324	1886	3917
325	1891	3910
326	1896	3904
327	1900	3893
328	1904	3884
329	1910	3878
330	1916	3872
331	1921	3866
332	1926	3859
333	1931	3852
334	1937	3846
335	1943	3840
336	1945	3828
337	1951	3822
338	1955	3812
339	1960	3805
340	1966	3799
341	1969	3788
342	1975	3783
343	1977	3771
344	1983	3765
345	1989	3761
346	1996	3756
347	1999	3746
348	2007	3744
349	2014	3741
350	2020	3736
351	2025	3729
352	2029	3719
353	2032	3708
354	2037	3702
355	2043	3696
356	2048	3689
357	2053	3683
358	2057	3673
359	2060	3663
360	2066	3658
361	2070	3648
362	2075	3642
363	2081	3636
364	2086	3629
365	2088	3617
366	2094	3612
367	2099	3606
368	2105	3600
369	2108	3590
370	2114	3584
