iter	RMSE
0	2.247676505
1	2.186723173
2	2.12930218
3	2.0729069
4	2.017485418
5	1.962794674
6	1.910517248
7	1.859226514
8	1.81267229
9	1.764563664
10	1.717629829
11	1.672497302
12	1.628540939
13	1.58610063
14	1.543898579
15	1.50452378
16	1.464896754
17	1.426130928
18	1.390358827
19	1.355687382
20	1.320775291
21	1.287688866
22	1.256597792
23	1.223885758
24	1.19311046
25	1.16403308
26	1.13396512
27	1.10483588
28	1.077313821
29	1.050710505
30	1.02500543
31	0.9993151857
32	0.9751237809
33	0.9512535304
34	0.9275395865
35	0.9066619698
36	0.8848543552
37	0.8639099493
38	0.8425906534
39	0.8211863902
40	0.8020615466
41	0.7835356839
42	0.7661662915
43	0.7497763651
44	0.7337136739
45	0.7176589838
46	0.7021351027
47	0.6868381455
48	0.6711768756
49	0.6571382006
50	0.6436854562
51	0.6294876066
52	0.6163889732
53	0.6035379869
54	0.5906521043
55	0.5783135804
56	0.5670199699
57	0.5556993003
58	0.5449938457
59	0.5345373908
60	0.5245670307
61	0.515232711
62	0.5054745833
63	0.4959404893
64	0.4869243194
65	0.4783950222
66	0.4698196617
67	0.4617746646
68	0.4539815433
69	0.4463079435
70	0.4393804577
71	0.4320692745
72	0.4254971932
73	0.4188894331
74	0.4127818893
75	0.4063855757
76	0.4006853345
77	0.3942555293
78	0.3889476049
79	0.3827482201
80	0.3779093824
81	0.3726961946
82	0.3681313623
83	0.3636143253
84	0.3592643613
85	0.3547966405
86	0.3507934062
87	0.3464615227
88	0.3426499498
89	0.3392409754
90	0.3362517474
91	0.3326977623
92	0.3294339197
93	0.3261506812
94	0.3227225306
95	0.3197622062
96	0.3172275986
97	0.3140787657
98	0.3111705812
99	0.308993307
100	0.3064215754
101	0.3040260966
102	0.3018450731
103	0.2990574251
104	0.2969275252
105	0.2945777801
106	0.2927334831
107	0.2908243998
108	0.2889937333
109	0.2869618273
110	0.2849457359
111	0.2832672962
112	0.2811778546
113	0.2793446786
114	0.2779574588
115	0.2764297007
116	0.2750087062
117	0.2734240086
118	0.2720621069
119	0.2706549157
120	0.2694588894
121	0.2687488225
122	0.2678324929
123	0.2669698705
124	0.2657396679
125	0.2641621145
126	0.2633521279
127	0.2625229202
128	0.2612339261
129	0.26053672
130	0.2595779186
131	0.2592094631
132	0.2587341839
133	0.2580990915
134	0.2572517314
135	0.2566320726
136	0.2559778486
137	0.2550598294
138	0.2544125533
139	0.253756365
140	0.252996478
141	0.2521581155
142	0.2514828011
143	0.2506895101
144	0.2500004424
145	0.249490403
146	0.2489553588
147	0.2482988658
148	0.2476671248
149	0.2471396475
150	0.2463591036
151	0.2460304818
152	0.2456157148
153	0.2452320609
154	0.2446450058
155	0.2442150476
156	0.2440346559
157	0.2436444464
158	0.2433248497
159	0.2431674055
160	0.2426330536
161	0.242124721
162	0.2415420676
163	0.2410598882
164	0.2405412551
165	0.2399505411
166	0.2397204684
167	0.2394285865
168	0.2389128359
169	0.2384803678
170	0.2379376498
171	0.2377929566
172	0.2373728887
173	0.2369945894
174	0.2367784684
175	0.2363441097
176	0.2361484019
177	0.2357829505
178	0.2354169503
179	0.2352416766
180	0.2349442704
181	0.2345234641
182	0.2344785185
183	0.2342393973
184	0.2338414963
185	0.2335515149
186	0.2334664141
187	0.2332953974
188	0.2331444393
189	0.2325993411
190	0.2322742095
191	0.2318877878
192	0.2314018183
193	0.2311564708
194	0.2310214681
195	0.2307861768
196	0.2306124775
197	0.23035632
198	0.2303445238
199	0.2301683263
200	0.2301070328
201	0.2296658354
202	0.2294858396
203	0.2293568763
204	0.229270992
205	0.2290703271
206	0.228708134
207	0.2283212989
208	0.2279555361
209	0.2275491151
210	0.2275188787
211	0.2272829468
212	0.2270986917
213	0.2270954626
214	0.2270100994
215	0.2269910021
216	0.2264688768
217	0.2262362993
218	0.2261959203
219	0.2261574503
220	0.2257886368
221	0.2257180968
222	0.2254200192
223	0.2254172722
224	0.2253479619
225	0.2250784453
226	0.2246947996
227	0.2245362037
228	0.2243701733
229	0.2243695677
230	0.2241563523
231	0.223994679
232	0.2237807064
233	0.2234802326
234	0.2234501301
235	0.2231469138
236	0.223039639
237	0.223002991
238	0.2228040941
239	0.2223969749
240	0.2221722999
241	0.2218759115
242	0.2218755874
243	0.2217700723
244	0.2217281498
245	0.2213371506
246	0.2212014703
247	0.2211937275
248	0.2211922275
249	0.2211892905
250	0.2210998182
251	0.2210992113
252	0.2208130871
253	0.2207064756
254	0.2203060707
255	0.2203038953
256	0.2200099095
257	0.220009517
258	0.2197036911
259	0.2197035697
260	0.2193115502
261	0.2193111796
262	0.2190465406
263	0.2187577521
264	0.2186427296
265	0.2186426684
266	0.2186426109
267	0.2186418148
268	0.218537891
269	0.2182604152
270	0.2180558261
271	0.2179284116
272	0.217691016
273	0.2173383694
274	0.2170067563
275	0.2169088375
276	0.2166762428
277	0.216552206
278	0.2160661876
279	0.2160661624
280	0.2159691496
281	0.2159206466
282	0.215638424
283	0.2154526283
284	0.2152068556
285	0.2149580691
286	0.2149580554
287	0.2149387166
288	0.2148401894
289	0.2146647988
290	0.2144392829
291	0.2142929529
292	0.2139464491
293	0.2136918004
294	0.2135692895
295	0.2134043957
296	0.2132046413
297	0.2128500718
298	0.2128492834
299	0.2125580507
300	0.2125580124
301	0.2124587711
302	0.2121705901
303	0.2117349122
304	0.2115423467
305	0.2113178202
306	0.2112964376
307	0.2109463925
308	0.2106070437
309	0.2104336202
310	0.2103859071
311	0.2101720708
312	0.2101484342
313	0.210148433
314	0.2099365682
315	0.2098253921
316	0.2097056235
317	0.209647539
318	0.2095258921
319	0.2092936816
320	0.2088896969
321	0.2088896951
322	0.2088896934
323	0.2086954415
324	0.2084244622
325	0.2081999157
326	0.2081999148
327	0.208199579
328	0.2078389118
329	0.2077503655
330	0.207750365
331	0.2075723548
332	0.2075153605
333	0.2075153603
334	0.2074547083
335	0.2074547083
336	0.2072463647
337	0.2071845584
338	0.2071845584
339	0.2070665935
340	0.2068288706
341	0.2065465736
342	0.2065465736
343	0.2064583258
344	0.2064583258
