iter	Passed	Remaining
0	8	8417
1	18	9090
2	21	7227
3	30	7708
4	40	8022
5	49	8198
6	58	8323
7	67	8424
8	71	7843
9	81	8047
10	90	8145
11	100	8244
12	109	8298
13	118	8375
14	128	8454
15	138	8491
16	147	8533
17	157	8580
18	166	8605
19	175	8622
20	185	8650
21	194	8668
22	204	8683
23	214	8705
24	223	8718
25	233	8729
26	242	8746
27	252	8749
28	262	8804
29	272	8806
30	281	8805
31	291	8812
32	295	8646
33	304	8651
34	313	8648
35	316	8471
36	325	8475
37	335	8487
38	344	8484
39	353	8493
40	363	8496
41	387	8839
42	401	8925
43	410	8922
44	414	8793
45	423	8786
46	433	8795
47	443	8790
48	449	8724
49	458	8719
50	468	8719
51	477	8711
52	487	8715
53	494	8660
54	503	8653
55	513	8653
56	522	8648
57	532	8646
58	542	8645
59	551	8644
60	561	8637
61	570	8633
62	580	8631
63	589	8620
64	598	8615
65	608	8611
66	618	8610
67	627	8603
68	637	8595
69	646	8584
70	655	8580
71	665	8571
72	674	8568
73	684	8564
74	694	8562
75	703	8557
76	713	8553
77	722	8544
78	732	8536
79	741	8528
80	748	8489
81	757	8483
82	767	8477
83	776	8467
84	786	8462
85	795	8457
86	805	8454
87	815	8450
88	824	8443
89	834	8432
90	843	8423
91	849	8385
92	855	8346
93	864	8336
94	871	8299
95	880	8290
96	886	8254
97	896	8248
98	905	8241
99	914	8231
100	924	8226
101	933	8217
102	942	8212
103	952	8208
104	961	8195
105	970	8186
106	979	8176
107	988	8167
108	998	8159
109	1007	8148
110	1016	8142
111	1026	8137
112	1035	8130
113	1044	8121
114	1053	8111
115	1063	8101
116	1069	8073
117	1079	8065
118	1088	8055
119	1097	8048
120	1106	8040
121	1109	7983
122	1118	7977
123	1128	7971
124	1137	7961
125	1146	7955
126	1156	7948
127	1165	7939
128	1175	7934
129	1181	7908
130	1191	7902
131	1193	7848
132	1197	7804
133	1206	7798
134	1216	7793
135	1225	7784
136	1234	7778
137	1244	7770
138	1253	7764
139	1262	7756
140	1271	7747
141	1281	7742
142	1290	7735
143	1300	7727
144	1309	7720
145	1318	7713
146	1327	7705
147	1337	7697
148	1346	7691
149	1356	7685
150	1369	7702
151	1380	7702
152	1390	7699
153	1399	7690
154	1408	7680
155	1418	7674
156	1427	7666
157	1434	7643
158	1443	7635
159	1452	7625
160	1461	7618
161	1471	7610
162	1480	7602
163	1489	7591
164	1498	7584
165	1507	7575
166	1516	7566
167	1526	7557
168	1535	7548
169	1544	7540
170	1553	7532
171	1557	7497
172	1566	7487
173	1575	7481
174	1585	7472
175	1594	7464
176	1604	7458
177	1613	7449
178	1622	7442
179	1632	7435
180	1641	7426
181	1651	7420
182	1654	7386
183	1663	7378
184	1673	7371
185	1682	7363
186	1689	7344
187	1693	7316
188	1703	7308
189	1712	7300
190	1721	7293
191	1731	7285
192	1740	7277
193	1749	7269
194	1759	7262
195	1768	7252
196	1777	7243
197	1786	7236
198	1790	7205
199	1794	7179
200	1799	7152
201	1808	7146
202	1818	7138
203	1827	7131
204	1836	7122
205	1846	7115
206	1855	7109
207	1865	7101
208	1874	7093
209	1883	7085
210	1889	7067
211	1898	7058
212	1908	7050
213	1910	7018
214	1917	7000
215	1921	6975
216	1931	6969
217	1940	6961
218	1945	6937
219	1954	6929
220	1963	6920
221	1972	6911
222	1981	6903
223	1983	6872
224	1992	6863
225	2001	6855
226	2010	6846
227	2020	6839
228	2029	6832
229	2030	6799
230	2039	6790
231	2049	6783
232	2058	6775
233	2067	6768
234	2069	6738
235	2079	6730
236	2088	6723
237	2097	6714
238	2107	6709
239	2116	6702
240	2126	6696
241	2135	6687
242	2137	6659
243	2146	6651
244	2155	6643
245	2165	6636
246	2174	6628
247	2177	6603
248	2181	6578
249	2185	6557
250	2195	6551
251	2197	6524
252	2207	6517
253	2216	6509
254	2225	6501
255	2228	6477
256	2238	6470
257	2241	6445
258	2250	6438
259	2254	6416
260	2263	6408
261	2265	6382
262	2274	6375
263	2284	6368
264	2293	6361
265	2295	6332
266	2296	6305
267	2299	6280
268	2308	6273
269	2317	6267
270	2327	6259
271	2336	6253
272	2345	6246
273	2363	6263
274	2373	6257
275	2382	6249
276	2392	6243
277	2401	6236
278	2410	6229
279	2412	6202
280	2420	6194
281	2429	6186
282	2439	6179
283	2448	6173
284	2457	6166
285	2467	6159
286	2469	6135
287	2478	6127
288	2487	6120
289	2496	6112
290	2506	6106
291	2515	6099
292	2524	6092
293	2534	6085
294	2543	6077
295	2551	6069
296	2561	6062
297	2570	6055
298	2575	6037
299	2584	6030
300	2587	6009
301	2597	6003
302	2606	5996
303	2616	5989
304	2625	5982
305	2634	5974
306	2643	5966
307	2652	5960
308	2662	5953
309	2671	5946
310	2680	5939
311	2690	5932
312	2696	5919
313	2699	5897
314	2708	5889
315	2717	5882
316	2726	5875
317	2736	5868
318	2746	5862
319	2755	5854
320	2764	5848
321	2766	5825
322	2768	5801
323	2777	5795
324	2787	5788
325	2796	5780
326	2797	5757
327	2802	5741
328	2811	5734
329	2820	5727
330	2823	5706
331	2832	5699
332	2841	5691
333	2844	5671
334	2853	5663
335	2855	5643
336	2865	5637
337	2874	5630
338	2877	5610
339	2886	5603
340	2898	5600
341	2907	5594
342	2909	5573
343	2919	5567
344	2922	5548
345	2931	5540
346	2934	5521
347	2942	5513
348	2951	5506
349	2960	5498
350	2970	5491
351	2979	5485
352	2981	5465
353	2983	5445
354	2992	5437
355	2994	5417
356	2996	5396
357	3005	5389
358	3014	5382
359	3023	5375
360	3025	5355
361	3026	5334
362	3029	5315
363	3032	5298
364	3034	5278
365	3043	5272
366	3045	5252
367	3054	5245
368	3063	5238
369	3072	5232
370	3074	5212
371	3083	5205
372	3092	5198
373	3102	5192
374	3104	5174
375	3113	5166
376	3115	5148
377	3124	5141
378	3133	5134
379	3143	5128
380	3152	5122
381	3161	5114
382	3171	5108
383	3180	5102
384	3182	5084
385	3191	5077
386	3200	5069
387	3205	5056
388	3208	5038
389	3209	5019
390	3219	5014
391	3228	5006
392	3237	5000
393	3239	4983
394	3242	4965
395	3250	4958
396	3252	4940
397	3261	4933
398	3264	4916
399	3265	4898
400	3275	4892
401	3277	4875
402	3286	4868
403	3295	4861
404	3305	4855
405	3307	4839
406	3317	4833
407	3319	4816
408	3328	4809
409	3337	4803
410	3355	4808
411	3364	4802
412	3367	4785
413	3376	4779
414	3385	4772
415	3395	4766
416	3398	4750
417	3407	4744
418	3416	4737
419	3425	4731
420	3435	4724
421	3444	4718
422	3447	4702
423	3449	4686
424	3459	4680
425	3468	4673
426	3477	4667
427	3480	4650
428	3481	4633
429	3483	4618
430	3493	4611
431	3502	4605
432	3504	4588
433	3505	4572
434	3515	4565
435	3517	4550
436	3520	4535
437	3529	4528
438	3531	4513
439	3540	4506
440	3550	4500
441	3552	4485
442	3562	4478
443	3571	4472
444	3580	4466
